,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,2.2129250604634685e-21,0.0,0.0,0.0,1.5888318833473122e-39,0.0,1.3191392200914265e-121,0.0,0.3254583955909886,0.0,0.2516669684793225,2.299462819775655e-11,0.0,0.0,0.0,0.32762741859465816,1.2097526820050042e-60,9.651585907834952e-14,0.0,0.0,0.0,3.4403275372677435e-75,0.0,4.540353188916146e-76,0.0,1.6779228823508872e-163,0.0,0.0,0.09524721731193941,0.0
1,0.0,4.9660388108852094e-48,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.053326127586283e-233,3.4601497271046754e-226,0.0,0.0,0.0,0.0,0.0,0.0,8.353189407464291e-275,0.0,0.0,0.0,8.67011257399284e-78,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,3.523399351521047e-08,0.0,0.0,0.8288944067975559,0.0,0.0,0.0,0.030339766954476106,0.0,0.0,0.0,0.0,0.023443319936301978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11732247107767248,9.61079862716231e-202,0.0,7.12699438175159e-63,0.0,0.0,0.0,0.0
3,0.0,4.2029593150813406e-16,0.0,0.9254501952491495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.711561964815469e-228,6.291062460997573e-164,0.034839684751063325,0.0,0.0,0.0,0.0,0.0,2.779165474427973e-138,0.0,1.8215818621145336e-186,0.03971011999978684,5.585727419957514e-170,0.0,0.0,0.0,0.0,4.5109795757531135e-291
4,0.020489849289596372,0.0,0.0,0.0,1.6309872667781494e-06,0.0,0.014651264289725005,0.0,1.1516321001201636e-38,0.0,2.8565016570941846e-69,0.9646261312698041,0.0,0.0,0.0,7.413200607664059e-73,0.0,1.7014110954967553e-29,0.0,0.0,0.0,1.407034638500973e-25,0.0,1.416611e-317,0.0,3.716852889602429e-202,4.938444944383351e-132,5.2622847855691424e-278,0.00023112416360775409,0.0
5,0.0,0.0,0.9915106294524881,0.0,0.0,3.851731525665011e-38,0.0,0.0,0.0,1.199340402606967e-18,0.0,0.0,0.0,0.0,3.8693820884205856e-62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9673737773814515e-11,2.918552983246707e-221,0.0,0.008489370507838257,0.0,0.0,0.0,0.0
6,8.926813475377298e-140,0.0,0.0,0.0,1.7035526169099003e-43,0.0,3.350849605787973e-54,0.0,0.019911263827424763,0.0,0.0,0.07525215226514337,0.0,0.0,0.0,0.08239093284294113,0.0,7.565243256202315e-93,0.0,0.0,0.0,0.7966321039663656,0.0,0.009860560109065147,0.0,0.0,0.01595298698905988,0.0,1.813697177554981e-188,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.297725682801778e-34,0.0,0.0,0.0,0.0,6.917318647297158e-221,2.2246897275606736e-200,0.0,0.0,0.0,0.0,0.0,1.5083106455498784e-08,0.9999999849168936,0.0,0.0,0.0,9.597951281751713e-130,0.0,0.0,0.0,0.0,2.837984014278795e-18
8,0.07402335102922382,0.0,0.0,0.0,0.009794998332170884,0.0,1.0438430878149491e-82,0.0,0.8014155496729455,0.0,4.1442285822301445e-87,6.318458518743442e-13,0.0,0.0,0.0,0.06478200259527458,0.030834083309763033,1.0178284890299414e-13,0.0,0.0,0.0,2.645238714004705e-98,0.0,0.019150015059888493,0.0,1.57586335241933e-66,0.0,0.0,1.3611075403431745e-29,0.0
9,0.0,0.0,1.4801675748144632e-05,0.0,0.0,0.05379174343147253,0.0,0.0,0.0,0.9188606172755575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027332837617221828,5.968277278865683e-23,0.0,2.4418771755646052e-191,1.4957770895122025e-251,0.0,0.0,0.0
